"X1" "X2" "X3" "C1" "T1" "S1"
823.122544849282 1427.29459193847 2537.57238548468 "aa" 0 "aa"
560.422601154176 1783.78261068819 3298.01183428191 "aa" 0 "aa"
765.336743789657 1349.80011550649 2298.6292810553 "aa" 1 "aa"
960.365723437028 1303.87191644404 2943.26661440636 "aa" 1 "aa"
562.141202846187 1704.43329095708 3262.63239323844 "aa" 0 "aa"
654.857300555423 1007.1777947642 3283.58526710754 "aa" 0 "aa"
496.892620878098 1180.1887722478 3379.06013600295 "aa" 0 "aa"
801.552478710094 1352.50108748368 3216.86559966856 "aa" 0 "aa"
937.615787321554 1380.14083050913 2427.1572168278 "aa" 0 "aa"
599.065391329827 1782.99128853683 3323.99821751097 "aa" 0 "aa"
572.808583220569 1533.75957133101 2784.33303231071 "aa" 0 "aa"
811.654967171392 1555.1802547773 2841.40553506412 "aa" 0 "aa"
842.26205645999 1242.96215283824 3260.90037429385 "aa" 0 "aa"
616.348565617632 1508.48268051538 3152.43769216637 "aa" 0 "aa"
747.231312674691 1163.35667425165 3057.18042563534 "aa" 0 "aa"
703.281813281195 1580.39432739897 2493.50993787718 "aa" 0 "aa"
527.192775077668 1977.57647690157 2875.99091624027 "aa" 0 "aa"
946.29228993234 1162.99035557324 2966.95685798324 "aa" 1 "aa"
843.820467325765 1369.75441963665 3033.03079655502 "aa" 1 "aa"
846.372755936262 1350.92585530005 3485.72604329755 "aa" 1 "aa"
819.053565852612 1270.59669406393 3036.44822086434 "aa" 1 "aa"
740.947030937537 1366.2840031931 2640.34552039073 "aa" 0 "aa"
480.146041426222 1836.76140323836 2707.59700581381 "aa" 0 "aa"
686.52615826914 909.501403608287 3142.92489600807 "aa" 0 "aa"
663.787809009509 1401.850564736 2940.87812404867 "aa" 0 "aa"
647.93736235924 1692.23715155698 2689.1912013617 "aa" 0 "aa"
595.160342110751 1786.66621115454 3164.14823050782 "aa" 0 "aa"
706.544387808915 1186.83424945236 2799.4951452932 "aa" 0 "aa"
828.434811365786 1803.24585655158 2780.73189856367 "aa" 0 "aa"
810.99345236872 1614.39149883154 3278.1959130129 "aa" 0 "aa"
802.20168848779 1547.88986546966 3053.96868185271 "aa" 0 "aa"
894.49889522858 1354.58907562797 2301.1779699125 "aa" 0 "aa"
972.07772139475 1399.58325885176 3274.41032234113 "aa" 0 "aa"
860.197252152414 1409.13147189937 2805.51504717825 "aa" 0 "aa"
802.661694278403 1301.63116489406 3314.30594074423 "aa" 1 "aa"
703.085924573578 1522.7291932298 2799.27856313036 "aa" 0 "aa"
1070.81462394577 1483.09270286041 2716.20562725823 "aa" 1 "aa"
785.504218236935 1302.91090324196 2724.79955290996 "aa" 1 "aa"
831.502994255275 1314.63429594943 2519.31729912796 "aa" 0 "aa"
540.877977922428 1482.46145787003 3238.96842924516 "aa" 0 "aa"
653.981357028375 1197.9684925848 3350.62678646796 "aa" 0 "aa"
479.890724184376 1519.53466702254 3112.0660569003 "aa" 0 "aa"
780.637122115294 1268.14879730035 3317.80075837515 "aa" 0 "aa"
454.0095969519 1796.06115356439 2953.32338222682 "aa" 0 "aa"
625.728803295547 1321.17060906158 3152.42072399952 "aa" 0 "aa"
567.845215792061 1418.66231825956 3183.83824329902 "aa" 0 "aa"
580.357810548742 1547.95245043344 3629.57447558902 "aa" 0 "aa"
