F1 F2 F3 v
482.108631128565 2387.9745088604 3100.55129780735 ee
413.408627720272 2589.94704450937 2967.04944318723 ee
455.79242993176 2573.35381481434 3120.71539719392 ee
542.103537962582 2197.74267001097 2847.69374543237 ee
505.152147813462 2268.41639538791 2800.24225736184 ee
466.983607149669 2351.03314495922 3219.58295149839 ee
621.754367256924 1869.10292026096 2946.19452573075 ee
532.95725926769 2328.44201456811 3021.53632365263 ee
560.528364678255 2414.66294704425 2936.01416657642 ee
538.446352288184 2103.059958293 3016.25649687202 ee
636.76232074818 2248.08129188903 3199.41984355782 ee
606.160946376109 2023.8508754753 2799.68350611155 ee
545.056911369295 2258.93001946138 3236.52307847886 ee
478.244344742704 2152.3256365257 3107.07576609545 ee
468.188242898041 2350.86423603575 2673.0639752168 ee
490.998828703039 2080.46232379862 2676.55468236293 ee
581.429424696688 2148.32215843821 2916.9086418393 ee
474.890152395441 2207.01398896213 2926.00541127728 ee
557.822168320377 1971.21922196408 2656.77187778118 ee
463.97716479881 2213.83022453342 2736.50589479438 ee
472.922704546661 2279.4388625957 3066.95830633815 ee
421.76141049606 2299.90381035341 2867.4105055691 ee
397.668234451437 2284.65871694408 2996.28201049464 ee
501.533869339793 2436.04730645738 3231.61726581035 ee
582.223646394401 2156.59682602405 2975.84384399327 ee
471.725773339025 2164.60258323888 2888.74895259303 ee
491.621776388123 2307.52088096807 3164.11766596231 ee
520.612502122602 2177.34417112458 3204.35445061343 ee
550.151737930311 2322.47411150911 2904.62275386677 ee
434.211122115426 2375.45745026937 2795.72355000035 ee
501.819695260609 2344.70113055302 2999.69311942305 ee
456.52977120917 2296.85220467421 2998.51788922748 ee
522.25951129854 2044.77767847866 3047.53241739589 ee
482.755663994481 2348.33701362796 3076.42934726009 ee
444.29071199373 2156.15353178372 3153.92091067487 ee
449.182366495666 2246.81302272472 2854.13900223961 ee
573.96948676932 1998.15290903478 2880.99023003619 ee
581.989056090367 2244.67545157181 2802.53006031028 ee
443.018692758357 2594.57289039286 3240.87865785753 ee
538.259743025984 2218.7422204939 3016.76782176364 ee
467.386780745673 2317.62941763785 2922.40135938339 ee
313.586017260771 2375.90785009359 2871.67636336083 ee
549.069903522923 2221.51716860507 3031.59271376448 ee
399.210323408113 2442.01167618542 3189.52311306641 ee
520.943115496412 2264.70575984457 3112.52928670243 ee
602.959502336794 2099.36069195604 2928.5014293326 ee
447.417396228834 2322.09542826725 3083.62522081808 ee
626.338241438993 2228.18457675293 3007.48764718234 ee
401.766740851199 2547.38210212271 3110.23787536937 ee
519.975011053464 1913.8110000695 2655.14038550024 ee
489.217866496647 2434.20164658304 3290.76461589499 ee
341.363086694818 2505.68464620442 3204.1442648382 ee
467.297618645005 2423.46279092099 3017.47179242386 ee
424.909297709486 2669.38873577538 3115.0715733386 ee
505.004299128341 2394.70226598031 2842.5055243578 ee
559.22719592403 2026.70791155502 2881.3150013221 ee
457.61315763526 2238.20554820147 2717.95947916066 ee
544.169242635207 2417.07107061546 3253.54594380324 ee
477.883115151056 2457.27334451901 2891.94262646412 ee
535.233868056943 2169.32721074553 2914.56618402714 ee
633.836914534602 1885.08056920452 3009.35123677781 ee
514.42660382912 2352.30604706439 2893.37744231238 ee
486.958127176604 2177.33514969814 2965.30656715382 ee
423.702432271597 2277.73273183079 2691.24284424516 ee
540.125381821262 2264.27582216863 2849.00820309206 ee
522.625838575269 2434.62223557436 2880.45469167444 ee
576.99835762481 2418.1587103701 2950.76304414318 ee
520.219296161722 2259.45097583698 3028.23995139029 ee
557.786700756899 2228.35839785687 2902.46590132933 ee
556.615460458417 2240.2854868141 3133.49646910406 ee
501.345238309321 2388.95749230602 2949.46230215853 ee
515.155880013182 2274.98876951027 2989.17506411394 ee
655.992480448353 1944.06620478002 3050.10469760668 ee
544.512574899381 2131.67639968468 3370.30304258852 ee
402.270465930951 2048.23408051013 2978.55665479546 ee
493.703232443527 2210.27516152735 2929.89387391444 ee
605.764441071075 2220.52947640337 3281.88483553717 ee
476.518379495784 2003.66352885676 3043.67138896505 ee
513.105355045308 2319.38122331709 3242.63179274309 ee
536.342007004257 2076.19305114457 3018.29867387562 ee
