"X1" "X2" "X3" "C"
454.245799902663 2374.55060944406 3182.90303541965 "iy"
504.225549296722 1993.02893346898 2734.3665665547 "oe"
472.097293285752 2445.41080635528 3158.06060567212 "ee"
471.116295637473 2385.59191920044 2947.81833771562 "iy"
541.713427695999 2493.66212386616 2806.68616562358 "ee"
268.144308531585 2616.46311857071 3231.44215585979 "iy"
369.96366035765 2474.53973236235 3266.35129039063 "iy"
386.371860695128 2280.40901427694 3159.64556134253 "iy"
403.521888355832 2348.21406208523 3048.49391096501 "ue"
502.17571028162 2084.57351339161 2875.38115129623 "iy"
539.303915047795 2039.75819258978 2859.88987368339 "iy"
705.877324903074 1940.96881380904 2873.47426765427 "ee"
386.313466935979 2646.9132717892 3176.30533389047 "iy"
478.102710254728 2460.43540790752 3146.80052400708 "iy"
547.338994161381 2047.31772587327 3096.50411360163 "ee"
731.70652758945 1863.98714732148 2714.1313055479 "ee"
794.750072918392 1948.07457848644 3015.78401754179 "ee"
328.534710450312 2400.77086249151 3191.59241438826 "iy"
399.693123358165 2455.32563548353 3281.02460836795 "iy"
302.122563302636 2467.25110110796 3032.07583276278 "iy"
609.115029838476 1630.57013183384 3025.07218740415 "oe"
311.99489997639 2947.03489715772 3351.26605253111 "iy"
505.522430677253 1786.67505793338 2782.44249907481 "iy"
606.683130314345 1597.14670449873 2766.02870768098 "oe"
801.65126160435 1639.0955757464 2830.74961941545 "ee"
473.972511449642 2111.52474722473 3004.37292915982 "ee"
459.396354135701 2367.7424037576 3100.69071634205 "ee"
520.161413504443 2054.15305423528 2724.39477546627 "oe"
589.261286952923 2156.86078454136 3107.42589223882 "ee"
533.973672404273 1729.10819675536 2742.23424561275 "oe"
534.517097429995 2248.06181330526 2985.30033887628 "ee"
708.125509392386 1895.9976222598 2833.66816099753 "ee"
542.556279796489 2132.85292219626 2951.38110380601 "ee"
705.080229271901 1885.49272105568 2875.26775107435 "ee"
705.975829051036 2069.54242803994 3017.08287436296 "ee"
333.69396090333 2765.93406574534 3231.13059217584 "iy"
460.676929299127 2528.4734822735 3144.90400922952 "iy"
383.343591065196 2248.07631155045 3198.08848692417 "iy"
553.147283095345 2154.66774495325 2967.30464918149 "ee"
526.698975060441 1617.16567568435 2631.92278434518 "oe"
683.602976715174 1899.95026820634 2857.14462714950 "ee"
452.075582892639 2243.18012978705 3020.13166905832 "ee"
467.986309063552 2189.48600451409 3145.33188991365 "iy"
455.952701916642 2086.67163018217 3027.70942758591 "ue"
333.569290128854 2640.54554599662 3260.82078448321 "iy"
500.061211965275 2226.41665144411 3124.94497638888 "ee"
