F1 F2 v u
828.625080707112 1607.19213878403 a 0
819.095884756858 1423.59482760306 a 0
694.664569893714 1388.44911158146 a 0
823.203506509153 1243.82197437381 a 0
700.607827483445 1622.6560892476 a 0
784.953902290214 1709.52924462369 a 0
756.248831472582 1871.31314473413 a 0
828.831594412902 1567.62353877647 a 0
1013.77945010602 1606.17303310394 a 0
612.022787253338 1770.73223219664 a 0
913.883487271542 1473.96683904442 a 0
766.569880902813 1191.38644070788 a 0
837.260775894893 1399.91595443777 a 0
714.325783203774 1485.73409970259 a 0
907.597349522616 1352.65603691550 a 0
505.296289388121 1554.16527685559 a 0
600.440690654154 1618.58470948781 a 0
788.626588399484 1667.39861796140 a 0
599.230322236011 1583.14829114324 a 0
598.383911258235 1177.66163551345 a 0
734.367569421903 1613.72861176365 a 0
551.503428746756 1303.62516522997 a 0
999.858234844248 1323.04815325718 a 0
753.964014770937 1622.48207551423 a 0
963.608972908702 1637.68211359475 a 0
568.955245663576 1524.12783420854 a 0
820.159216333892 1626.52249458921 a 0
742.757617275823 1657.87838436387 a 0
587.252506955838 1709.42035370418 a 0
832.53546750595 1298.5927305664 a 0
584.159431180803 1395.94119582177 a 0
729.56299793362 1717.91566101220 a 0
589.070576346602 1687.09260775344 a 0
839.280605246406 1511.80911559538 a 0
834.34045026716 1160.67117790197 a 0
638.862547693922 1518.32172967885 a 0
781.935434753328 1726.28683606633 a 0
780.666591288026 1668.69542555431 a 0
848.51931599411 1708.91771302951 a 0
793.646354977334 1327.87290045150 a 0
820.996424070021 1564.12799885896 a 0
543.703729904267 1684.08351727825 a 0
640.786252629148 1271.94557171408 a 0
889.911767450468 1326.70735306717 a 0
597.841870404842 1669.94339561452 a 0
543.774918552884 1625.17240737223 a 0
667.92523855315 1517.76617059053 a 0
646.217701459672 1461.07994848047 a 0
659.049791752229 1744.13262242655 a 0
566.672662996297 1774.69615566736 a 0
836.831488263499 1567.66763055226 a 0
767.570790560707 1389.64198811102 a 0
533.790610930588 1586.44363567093 a 0
876.8046590372 1558.24185784592 a 0
896.05057407919 1667.98746260057 a 0
747.93127863927 1497.45999740056 a 0
692.561917303559 1805.38973973328 a 0
774.931760924247 1552.90378498348 a 0
568.261884589283 1707.86147407163 a 0
666.1364030215 1471.07272598572 a 0
579.8247321093 1312.42526786858 a 0
731.293592942967 1769.32588021541 a 0
755.073675943322 1469.99821227626 a 0
574.725334859572 1665.61342036816 a 0
766.476196291228 1402.37213241564 a 0
614.45878597147 1725.58144126216 a 0
519.13070602451 1110.82805232580 a 0
624.747544547378 1875.28890750298 a 0
819.493960276154 1307.09318654310 a 0
535.307922748272 1254.61453991401 a 0
898.017486105443 1380.64974491716 a 0
546.704137605948 1642.47291947942 a 0
1003.90160493707 1681.42628958648 a 0
733.600046386017 1637.78988656391 a 0
540.831762108771 1786.44943645068 a 0
