F1 F2 v u
734.546745455339 1216.82350088739 a 0
438.227992988414 1698.70499971414 a 0
734.985445526795 1565.30882130582 a 0
790.038428649148 1451.87057919889 a 0
516.850099255566 1670.33157995477 a 0
779.267101545874 1612.7061900814 a 0
802.938225824501 1463.19718283782 a 0
801.759932921002 1712.78991915399 a 0
740.748297413659 1539.36165608821 a 0
872.675984424177 1638.7494114753 a 0
453.554086790469 1746.83586093119 a 0
600.613496965884 1472.28925405923 a 0
700.775971060103 1641.02313978002 a 0
931.462207886168 1593.11412112109 a 0
817.44977717397 1643.57472948963 a 0
648.981474650176 1569.52735634417 a 0
632.876058627939 1781.61597417943 a 0
548.272372491895 1529.58206230522 a 0
679.006049910839 1434.75465668366 a 0
747.624110315036 1592.82713594608 a 0
664.458382950164 1307.99178070737 a 0
775.44022845758 1410.25141220868 a 0
657.417997689285 1863.9607554297 a 0
756.16458844645 1600.11101217363 a 0
754.94658381844 1373.86803669834 a 0
672.593038844685 1879.694823301 a 0
724.297824650156 1580.92861439519 a 0
541.979217584062 1573.63674728696 a 0
685.538233408248 1820.59355333022 a 0
677.401657992544 1379.15346495743 a 0
547.763575130061 1402.6390084278 a 0
741.908174321783 1460.93224596038 a 0
610.522342523535 1513.27230416343 a 0
737.645249701156 1374.60987355187 a 0
698.673422856125 1404.71954124595 a 0
632.86193097233 1574.28146849782 a 0
515.927124439166 1598.40081320179 a 0
816.98363388513 1302.87938209605 a 0
843.734797888027 1592.78951903722 a 0
772.70366772929 1386.13038722436 a 0
784.725689588704 1463.66508959031 a 0
800.65736416824 1344.2456034938 a 0
590.6954499697 1644.68787346698 a 0
481.560783970848 1638.32753350872 a 0
736.118931940135 1234.6641129483 a 0
696.483530513456 1458.26331642565 a 0
541.879499446378 1500.46894620526 a 0
859.022276031749 1596.09473068083 a 0
465.945411167016 1669.92120567005 a 0
1082.8200883701 1820.56729846969 a 0
749.699927654662 1791.78249728464 a 0
651.601077983398 1957.07744972138 a 0
707.148136689584 1662.65809531835 a 0
784.700118857684 1541.85610771388 a 0
736.836156487642 1630.74363921983 a 0
637.889954752928 1541.88328300867 a 0
557.536681560324 1590.85171066232 a 0
912.632153067253 1538.55200264847 a 0
611.881227108565 1542.54947047695 a 0
639.184044389414 1398.92982025151 a 0
760.494597570164 1297.86376289612 a 0
698.96769573952 1503.22058865923 a 0
786.708883159182 1941.83479696493 a 0
684.662384051868 1636.95638255301 a 0
676.193048338167 1545.48390525481 a 0
483.937743062002 1437.96765474793 a 0
601.360213491919 1535.26157323223 a 0
622.76210127991 1413.33337463065 a 0
854.468720770097 1451.77125578807 a 0
928.319426544233 1396.15775891376 a 0
725.98238834783 1672.0528575073 a 0
582.284716817108 1522.27160724735 a 0
707.00698959666 1578.15493274287 a 0
557.801108812235 1747.61744601889 a 0
853.494441332589 1431.39784057631 a 0
690.73906826365 1581.36954337017 a 0
828.29626734835 1530.75468692071 a 0
706.611309786893 1447.92501000071 a 0
717.188719605373 1405.32122118536 a 0
743.117196114562 1627.85406845933 a 0
725.499384456808 1618.49935161748 a 0
638.364096923567 1585.96694156929 a 0
552.801285125443 1557.51998107502 a 0
750.697250092813 1749.8209320303 a 0
665.194327986452 1756.97315838377 a 0
690.131305157514 1525.35752686451 a 0
644.384938094572 1382.66810600557 a 0
736.089421619502 1512.98121549396 a 0
670.917964660798 1726.40222142371 a 0
657.273430696194 1788.45997566672 a 0
594.308207665718 1546.79172360531 a 0
876.981105120691 1440.46306743085 a 0
422.131818323305 1576.32545188947 a 0
677.010899303508 1585.20704793925 a 0
728.210398041349 1368.07769623869 a 0
577.342596205607 1430.13757199402 a 0
642.881938359504 1410.38974761388 a 0
846.429788944595 1403.66422596128 a 0
700.16256949527 1598.57507249559 a 0
656.522069834887 1774.03174267173 a 0
548.591306041904 1391.62734242856 a 0
451.143622005882 1578.28160113571 a 0
539.360837540037 1900.21394689139 a 0
598.863291577251 1351.49391487175 a 0
663.578609655763 1400.86743173043 a 0
762.04297116411 1558.11558268383 a 0
851.46910809947 1481.67164777871 a 0
527.959781784214 1415.58018736393 a 0
736.924053844583 1456.8213768045 a 0
643.797479491851 1788.21679794957 a 0
866.01104307695 1381.87823895364 a 0
921.306808301318 1605.87301019415 a 0
586.254485638054 1473.80593977222 a 0
642.021536235063 1239.87305887668 a 0
508.308857940097 1570.75662417785 a 0
868.707020514189 1669.85917990098 a 0
671.570532101644 1634.9443871044 a 0
650.701999069577 1430.61157450686 a 0
423.619324569222 1823.72626794985 a 0
792.477049532035 1460.28619025423 a 0
642.703376425301 1614.88269495924 a 0
743.148439955829 1280.61688053924 a 0
385.593620917687 1393.74197425027 a 0
844.604239017931 1133.13486587831 a 0
701.852421533534 1542.49093969134 a 0
695.79907347518 1475.76889594798 a 0
702.662797641277 1518.04371064416 a 0
847.02800498934 1619.6510398415 a 0
821.640624960845 1688.36745442269 a 0
549.035786625993 1604.53499664279 a 0
696.547415680624 1529.81955128129 a 0
733.472481926182 1664.86317007397 a 0
509.935377069016 1455.56041501046 a 0
642.844018916088 1749.76286397344 a 0
722.092271385477 1617.73757108695 a 0
632.61641016797 1330.34565199269 a 0
737.600544134975 1403.96031322321 a 0
729.879896326218 1224.85678268274 a 0
700.718438063498 1319.26353991926 a 0
645.771786821839 1727.18568404039 a 0
652.341189942479 1541.5816964572 a 0
671.382660686108 1741.61336682745 a 0
665.728181788949 1570.23109034163 a 0
729.32790756379 1573.29965303148 a 0
431.950989774472 1618.72269756333 a 0
647.64169854514 1497.62583327489 a 0
671.35605277932 1537.09415496328 a 0
831.386167359154 1359.27668858982 a 0
842.252611873029 1718.43123150614 a 0
468.776290183515 1523.67572259134 a 0
863.175070610069 1662.33047608937 a 0
666.068969909341 1430.54319206883 a 0
859.48063494967 1598.3843853538 a 0
908.580953125977 1755.49771454761 a 0
507.851768079639 1782.09764367618 a 0
679.629123528023 1515.05419132042 a 0
611.005399484956 1800.88725095805 a 0
621.359634101245 1549.24664946947 a 0
582.919126069902 1530.93065405503 a 0
743.626652551134 1167.43923683484 a 0
638.550211582369 1752.22819598972 a 0
484.389566497336 1446.31045195703 a 0
653.79888962972 1379.01506359487 a 0
672.436990607707 1489.99448890928 a 0
621.249691698303 1561.50168499603 a 0
719.517678803248 1526.53552205604 a 0
809.489440944536 1523.60633119011 a 0
616.433029837054 1281.76257916783 a 0
514.670193194752 1581.30473129053 a 0
598.257226365074 1759.64914315013 a 0
651.256400567938 1453.60331814476 a 0
690.424448383472 1511.90518321157 a 0
