"F1" "F2" "F3" "PHON" "ENV"
492.332255178097 2135.50271352369 3171.30493264931 "ee" 0
522.675013245318 2337.89043558703 3178.4909839692 "ee" 0
425.724145823202 2207.01018498623 2776.64872329943 "ee" 0
627.599104756384 2105.80309521963 2958.41610862775 "ee" 0
454.492250425985 2030.79825257369 2980.19579016216 "ee" 0
535.66201897062 2152.24855943224 2884.48706298314 "ee" 0
511.305205917207 2211.84717532038 2989.13880056467 "ee" 0
452.488743959536 2135.95627873038 2929.08945389587 "ee" 0
499.517436260097 2300.62205422868 2930.33582185381 "ee" 0
498.800366323966 1953.65549254198 3074.56584675397 "ee" 0
518.419495719304 1914.94760566331 3064.72326015034 "ee" 0
555.193113640846 2021.09733803216 2691.70058276536 "ee" 0
377.834792337494 2224.06225334434 3072.43502744967 "ee" 0
430.632040899878 1961.67372009604 2908.90624667886 "ee" 0
477.368381816694 2161.5907983046 3042.33654789859 "ee" 0
587.322036667932 2057.51401611264 2849.63949401271 "ee" 0
472.343664258757 1937.52690149525 2800.12637335381 "ee" 0
372.957945913249 2387.73876606449 2861.59650992532 "ee" 0
386.154735304494 2193.04497822428 2937.04863739811 "ee" 0
390.836303455132 2349.38565535148 3203.16520703499 "ee" 0
474.148719794819 2158.9119526961 2936.37811846743 "ee" 0
599.162563111262 2007.08371894713 2876.73869193898 "ee" 0
618.75004766043 1938.10886330496 2931.71932789455 "ee" 0
396.227796228407 2205.51430280761 2911.8712826042 "ee" 0
402.833274991628 2075.24764481804 2903.88233524704 "ee" 0
480.992481195339 2272.3381385555 3121.44141496541 "ee" 0
416.238474488260 2280.44244409997 3248.37668205541 "ee" 0
452.408747546187 2056.37215072227 2754.93017472261 "ee" 0
467.830340083542 2358.68484913451 3175.54260796666 "ee" 0
398.655733028381 2083.35112116077 2945.55325702540 "ee" 0
444.969439615482 1903.72119736025 2850.31075948775 "ee" 0
445.440794733705 2172.64886530757 2860.19759327311 "ee" 0
482.164236905233 2064.31056310050 2887.07175977410 "ee" 0
531.803531286714 2474.06919864184 3068.43331697850 "ee" 0
441.350817261638 2134.59644347184 2858.21807800684 "ee" 0
468.206602672394 2409.97929024143 3129.42880954954 "ee" 0
383.776009209691 2346.28912084017 2894.01097599803 "ee" 0
506.281583424681 2158.15768108338 2842.4817528654 "ee" 0
442.460409156572 2014.44574993589 2774.56143026687 "ee" 0
454.035566292629 2029.15701041885 2997.15258028166 "ee" 0
532.45476598003 2467.83276393215 3071.62781549373 "ee" 0
522.959211295591 1977.38481483729 2789.01416021141 "ee" 0
510.829086327437 2525.62843907328 3075.14850258278 "ee" 0
437.70141015467 2163.70367285730 3043.52750214275 "ee" 0
567.06011544385 2187.59541410088 3062.67746676180 "ee" 0
461.857767283605 1972.51523870852 2795.05296377480 "ee" 0
621.851046948619 2358.56262679354 3029.2247908915 "ee" 0
499.808527781365 2177.54464951955 3018.92351383818 "ee" 0
442.997166046002 2179.64745155894 3069.37459179768 "ee" 0
473.657372877919 2190.2378357919 3003.72647474041 "ee" 0
502.339387971821 2104.20245502117 2778.51767023966 "ee" 0
432.264249638264 2286.57830772611 2905.28373255284 "ee" 0
544.954198417342 2204.84012183767 2888.21019053329 "ee" 0
573.427882935187 2139.8143301481 2942.24434659155 "ee" 0
512.833828465905 2206.49856254937 2933.81487236812 "ee" 0
457.258958306626 2252.78378397237 3051.23637516625 "ee" 0
580.717625814359 2081.91859497824 2939.51815129957 "ee" 0
568.185665840513 2118.66843906903 2890.15740159116 "ee" 0
511.525014763507 2149.04886609324 2742.58773364888 "ee" 0
465.103348947192 2393.62877463737 3105.26913215124 "ee" 0
603.204810212869 1827.72126541668 2894.13790984956 "ee" 0
516.103599185781 2226.39189190221 2880.01851931494 "ee" 0
462.302416950472 2234.17012345733 2918.83585864803 "ee" 0
506.137563162660 2205.87610063784 2876.79189981711 "ee" 0
495.667343552921 2306.91530424292 3027.5372244462 "ee" 0
578.460234318507 1878.48852066745 2887.24649649315 "ee" 0
510.282534625577 2222.23575153939 3014.27695415481 "ee" 0
413.843011142556 2168.83503513330 3063.24417492320 "ee" 0
517.452545200799 2117.47407163718 2944.40931627198 "ee" 0
416.363407781859 2130.19103928755 2906.68453803632 "ee" 0
525.589294430424 2477.92580542532 3009.37203966560 "ee" 0
465.737242949230 2285.23805540843 2994.98598328955 "ee" 0
491.13175498957 2134.58476769836 3006.13616515088 "ee" 0
458.309771009299 1995.75925245054 2875.67022593651 "ee" 0
465.466381746514 2321.67076599413 2981.36729290629 "ee" 0
420.410232868341 2042.04859878458 2983.61385730736 "ee" 0
436.472372801027 1959.55692112039 2991.91865512877 "ee" 0
552.068055088062 1934.96627837375 3068.08403257712 "ee" 0
520.905449419087 2041.29114248839 2712.84426960962 "ee" 0
431.141916171788 2115.85321295541 2981.66742583631 "ee" 0
472.601890886033 2192.33376218246 2976.49613988035 "ee" 0
541.001887446745 2177.14426833785 2938.17839491511 "ee" 0
429.832130151854 2344.41840650798 2815.98762335439 "ee" 0
424.447246376726 2073.97626087149 2959.32961579652 "ee" 0
587.58560614684 2369.46032710589 2954.2777667399 "ee" 0
592.22030388993 2330.32780401084 2993.44270016957 "ee" 0
529.04258260176 2218.38076663195 3050.81854511546 "ee" 0
527.56601325541 2262.26038147471 2997.59587932841 "ee" 0
512.435404058971 2393.11009879868 3086.25803153577 "ee" 0
406.584712326217 2172.09951954912 2931.4061053531 "ee" 0
503.398263044431 2156.76091333188 2806.87683197054 "ee" 0
493.82455133984 2193.08119487413 2898.7028259674 "ee" 0
442.400331019322 2201.12699150546 2923.47150253795 "ee" 0
555.914565085781 2043.27886989124 2849.76522366002 "ee" 0
455.157762736238 2031.93391391152 2930.37825226795 "ee" 0
463.93972098065 2157.39012958441 2818.10618950515 "ee" 0
438.393633173364 2402.3160343029 3138.68233873313 "ee" 0
570.104115617482 2204.17098581840 2870.24666360893 "ee" 0
481.323499941988 2301.64745370017 2949.33325403731 "ee" 0
400.268025276059 2540.96750126981 3051.57803446583 "ee" 0
367.823743563282 2386.52630981685 2899.57785825403 "ee" 0
486.778993876016 2011.29841057123 2842.8442964471 "ee" 0
517.104046576217 2563.39576498311 3049.6191022937 "ee" 0
394.434125940776 2186.05021848327 2799.11845856902 "ee" 0
412.694520481368 2165.60457463907 2940.49572284828 "ee" 0
453.731285543834 2276.06422109776 3062.91923278567 "ee" 0
589.971730208134 2029.84171273243 2916.16154834552 "ee" 0
482.063947944239 2387.64711469343 3110.99437497935 "ee" 0
457.255529006692 1891.79778332603 2821.80391262027 "ee" 0
603.455728730493 2109.00794887264 2815.334590733 "ee" 0
504.896478616547 2082.22355071965 2919.51947661256 "ee" 0
440.472229754179 2044.28748409607 2870.54306720694 "ee" 0
602.969980156148 1840.479212435 2854.02443639476 "ee" 0
548.910736852791 2163.17953217807 2870.31434373827 "ee" 0
447.668261315207 1911.43560828807 2863.78152726527 "ee" 0
538.131663005293 2364.61685039914 2982.13271388349 "ee" 0
506.494562522007 2077.90467541159 2991.61552435282 "ee" 0
441.670549709681 2161.74875942440 2870.91254430756 "ee" 0
507.163039946038 2262.11230563101 3121.71876850935 "ee" 0
580.235981102946 2105.40210185078 2825.46619346768 "ee" 0
418.775415146585 2509.87088296404 3061.69018955769 "ee" 0
536.21946543884 2432.39664970195 3094.41083485381 "ee" 0
432.767530144519 2225.42045145590 2863.76328167397 "ee" 0
464.018332422372 2222.15822426088 2889.27489171101 "ee" 0
484.143967691893 2158.37849147905 2895.87123100053 "ee" 0
508.028712753269 2308.90290735382 3004.87203576487 "ee" 0
542.637914966099 2021.57033845967 2805.32398759433 "ee" 0
384.241458165096 2065.30926304313 2938.29620366494 "ee" 0
418.608243920432 2127.08740030001 3050.62365479186 "ee" 0
453.892928917853 2351.2385869803 2972.24905144713 "ee" 0
416.350384916334 2012.35066474806 2893.27686965639 "ee" 0
508.473080060272 2090.65620117449 2812.25485718581 "ee" 0
581.468948285815 2267.17248837127 2971.0306377278 "ee" 0
