"LABEL" "pFtr" "pFte" "pFprodtr" "pFprodte" "Ktr" "Kte" "pprtr" "pprte" "pprprodtr" "pprprodte" "pretr" "prete" "preprodtr" "preprodte"
"inuk_12k_dpmog_1_10_1" 0.599500737737684 0.597425463254247 0.590055899896841 0.585520686889971 6 6 0.807514200632305 0.785173181824244 0.584495657564962 0.581856253084197 0.476703271018168 0.482138323573973 0.595722946179474 0.589231569208744
"inuk_12k_dpmog_1_1_1" 0.69265361768924 0.715145666086634 0.617175702083106 0.640235034033393 6 6 0.853748411586981 0.883259487574648 0.571457348085015 0.596254334424966 0.582702749238702 0.600794398263789 0.67084540804787 0.69122060157722
"inuk_12k_dpmog_1_2_1" 0.620316104039556 0.633021471293787 0.590308368933148 0.588664555291634 6 6 0.814485099851239 0.797911100315764 0.574227064518564 0.555657280942683 0.50090335835689 0.524609966831825 0.607316342938938 0.625840891713491
"inuk_12k_dpmog_1_3_1" 0.661389579303049 0.663436503560212 0.597731976380638 0.609020841298348 6 5 0.800267699859117 0.800248698669751 0.546467454366421 0.548183921341816 0.563585234405503 0.566573850374678 0.659610535774896 0.685046654668719
"inuk_12k_dpmog_1_4_1" 0.66246025026486 0.671015878727051 0.59909572653318 0.606608227404416 6 5 0.801430064914368 0.795188563862614 0.5465296494153 0.548585630771648 0.564563621189717 0.580385733589944 0.66284964266806 0.678356365856365
"inuk_12k_dpmog_1_5_1" 0.618685617269446 0.632958200163567 0.589637787624673 0.600336080337288 6 6 0.818576227421625 0.817031942177664 0.576792323362867 0.579602860029533 0.49725854574793 0.516575897792883 0.603068434512957 0.62260764301964
"inuk_12k_dpmog_1_6_1" 0.615014107005739 0.618403629385826 0.593131561567716 0.574442823468787 6 6 0.816365148899319 0.815149586250796 0.583009012039214 0.552728734630976 0.493336047498425 0.498165513287745 0.603611829477301 0.59793276409446
"inuk_12k_dpmog_1_7_1" 0.625399290304252 0.616766467065868 0.591955328689718 0.574483598246048 6 6 0.815802825486678 0.806315538923343 0.572653978975316 0.560021422054137 0.50705553853615 0.499373490029073 0.612603169162808 0.589712527239940
"inuk_12k_dpmog_1_8_1" 0.618158984192985 0.594671282240445 0.591729748745262 0.566086285882851 6 6 0.81213741095925 0.803475460571715 0.576986511796132 0.555118741417648 0.498978366267059 0.472007698292453 0.607246184932026 0.577495939204085
"inuk_12k_dpmog_1_9_1" 0.622681166421927 0.615935441319898 0.593550752433656 0.572313349784681 6 6 0.812113779131164 0.814468606679373 0.574726337238195 0.557597634809781 0.50490717092743 0.49522132590803 0.613650063769605 0.587826852489511
"inuk_12k_emmog_1_10_1" 0.409186783501526 0.423096241356805 0.392067749943555 0.389898928844352 11 11 0.816628820330064 0.796776057183638 0.536816500050019 0.511503562649388 0.272985602386748 0.288018508660579 0.308801596411881 0.315008859929399
"inuk_12k_emmog_1_1_1" 0.644630294533198 0.642622557173337 0.587900110408 0.583074293865138 8 7 0.83676566916643 0.825655759305323 0.566995060804271 0.557001728980673 0.524253039707337 0.526014495720896 0.610405706038834 0.611707571875286
"inuk_12k_emmog_1_2_1" 0.646856520081187 0.652276904431613 0.601913543236179 0.596689995217535 7 7 0.836298923587186 0.839495191687937 0.578624018964552 0.570964498414417 0.527389700668758 0.533336063224274 0.62715649178086 0.624843055653524
"inuk_12k_emmog_1_3_1" 0.523099327841585 0.545171620077776 0.527919082829647 0.547320736722894 8 8 0.843030942657086 0.871392846862406 0.605955653740074 0.61949481865285 0.379194426011410 0.396670897997625 0.467688873395243 0.490209058489397
"inuk_12k_emmog_1_4_1" 0.418948534710475 0.419888018464131 0.390648375235732 0.395006382390743 10 10 0.835789415124709 0.82511038587061 0.534410880925227 0.540230850451142 0.279533995018354 0.281593710331272 0.307836825304882 0.311318080303125
"inuk_12k_emmog_1_5_1" 0.431461215918489 0.460298493050652 0.435520696672115 0.482757414661444 11 11 0.854997479425992 0.874787814836904 0.593362344397583 0.633252282424187 0.288532277008172 0.312317267925146 0.34400986192936 0.390058496057875
"inuk_12k_emmog_1_6_1" 0.576194615248112 0.598733819278623 0.536567783683542 0.55110418876395 8 8 0.809410165767836 0.830191830155526 0.549836496113114 0.567772243439873 0.447310834326170 0.468199500429958 0.52392438505632 0.535386869509849
"inuk_12k_emmog_1_7_1" 0.644081877161652 0.660433892510733 0.600124955880705 0.613779967953563 6 6 0.841902580945779 0.83968891752903 0.582464278002458 0.577176755998635 0.521537030753006 0.544248802260350 0.618890086857518 0.655340119219265
"inuk_12k_emmog_1_8_1" 0.534966793382218 0.518142814663778 0.574968345233226 0.555833980234976 8 8 0.870470542663692 0.84001652816675 0.66518555180692 0.634461227675497 0.386138276788116 0.374603824577208 0.506300290477322 0.494546079189212
"inuk_12k_emmog_1_9_1" 0.453613522955148 0.477324851915614 0.411841014007542 0.428594015244816 11 11 0.826926751355057 0.830375634517767 0.522940297665428 0.522893401015228 0.312525131003054 0.334924859751853 0.339676368479137 0.363110177377965
"inuk_1k_cor_dpmog_1_10_1" 0.794800107754698 0.666466706658668 NA NA 3 3 0.793396418396418 0.649327878433665 NA NA 0.79620877277435 0.6845348120764 NA NA
"inuk_1k_cor_dpmog_1_1_1" 0.783411849511064 0.808 NA NA 3 3 0.782085017300032 0.80700676090965 NA NA 0.784743191399356 0.808995686999384 NA NA
"inuk_1k_cor_dpmog_1_2_1" 0.802816542453843 0.828873677660237 NA NA 3 3 0.80150046889653 0.837209302325581 NA NA 0.804136945137338 0.820702402957488 NA NA
"inuk_1k_cor_dpmog_1_3_1" 0.783981840343924 0.757287511506597 NA NA 3 3 0.784548748064394 0.754278728606357 NA NA 0.7834157513165 0.760320394331485 NA NA
"inuk_1k_cor_dpmog_1_4_1" 0.79112869256268 0.790626902008521 NA NA 3 3 0.794612571647205 0.78111846061335 NA NA 0.787675229384564 0.800369685767097 NA NA
"inuk_1k_cor_dpmog_1_5_1" 0.775837580416075 0.84436274509804 NA NA 3 3 0.77281970748511 0.839731870810481 NA NA 0.778879115428939 0.849044978434999 NA NA
"inuk_1k_cor_dpmog_1_6_1" 0.773918059490856 0.815871047737136 NA NA 3 3 0.76993207394628 0.820960698689956 NA NA 0.777945531194842 0.810844115834875 NA NA
"inuk_1k_cor_dpmog_1_7_1" 0.638979750479108 0.60752688172043 NA NA 2 2 0.492846711861992 0.457205104263928 NA NA 0.908297229880531 0.905113986444854 NA NA
"inuk_1k_cor_dpmog_1_8_1" 0.79358552030911 0.844896700585877 NA NA 3 3 0.794729065480719 0.845679012345679 NA NA 0.792445261330648 0.84411583487369 NA NA
"inuk_1k_cor_dpmog_1_9_1" 0.801593607991475 0.786855036855037 NA NA 3 3 0.80489759899989 0.784445805266381 NA NA 0.798316630927894 0.789279112754159 NA NA
"inuk_1k_cor_emmog_1_10_1" 0.807879643033846 0.834782608695652 NA NA 3 3 0.811917583186616 0.841577958672511 NA NA 0.803881668198329 0.828096118299445 NA NA
"inuk_1k_cor_emmog_1_1_1" 0.804265720364876 0.860188851660067 NA NA 3 3 0.811910990873146 0.850602409638554 NA NA 0.796763088413344 0.869993838570548 NA NA
"inuk_1k_cor_emmog_1_2_1" 0.80444314313948 0.89798411728772 NA NA 3 3 0.807344773882636 0.890369473046638 NA NA 0.801562294866747 0.905730129390016 NA NA
"inuk_1k_cor_emmog_1_3_1" 0.813708505234103 0.748447204968944 NA NA 3 3 0.819023481948898 0.754539762053851 NA NA 0.808462065846863 0.74245224892175 NA NA
"inuk_1k_cor_emmog_1_4_1" 0.778530219580602 0.7591763652641 NA NA 3 3 0.775599727824186 0.736111111111111 NA NA 0.781482940206846 0.78373382624769 NA NA
"inuk_1k_cor_emmog_1_5_1" 0.767604057615249 0.740808264965056 NA NA 3 3 0.759928236505032 0.730815347721823 NA NA 0.775436523565709 0.751078250154035 NA NA
"inuk_1k_cor_emmog_1_6_1" 0.801339008666321 0.813465101914762 NA NA 3 3 0.80215306808548 0.815479876160991 NA NA 0.800526599857044 0.811460258780036 NA NA
"inuk_1k_cor_emmog_1_7_1" 0.781519538533674 0.77233782129743 NA NA 3 3 0.778940275473311 0.767173252279635 NA NA 0.784115939492072 0.777572396796058 NA NA
"inuk_1k_cor_emmog_1_8_1" 0.817710817732833 0.743478260869565 NA NA 3 3 0.82277667838261 0.749530369442705 NA NA 0.812706956661268 0.737523105360443 NA NA
