"F1","F2","PHONEME","UVULAR"
870.73587836061,1548.31234441559,"a",0
652.778264466933,1652.62446771481,"a",0
740.061717042754,1391.11921795039,"a",0
556.735766318106,1343.13189834136,"a",0
520.666481879428,1734.9947146582,"a",0
866.684929922056,1532.50977766022,"a",0
524.381167218326,1348.60259230582,"a",0
786.9209115809,1733.06822906417,"a",0
669.003294354529,1617.59752893065,"a",0
682.293297074966,1353.8756357559,"a",0
849.468715600318,1531.93301625465,"a",0
562.101604256572,1802.65783820433,"a",0
661.751180063005,1680.10231739801,"a",0
513.658670289528,1363.08480754904,"a",0
634.578263469156,1574.08159714870,"a",0
801.26546272442,1481.52001469188,"a",0
553.999535248385,1293.58965968950,"a",0
614.392761525,1776.08790744892,"a",0
781.71743864019,1317.58800434958,"a",0
717.915697578048,1731.97935965824,"a",0
1031.33087888789,1282.82262654188,"a",0
801.825914953723,1537.21739894527,"a",0
460.576732411172,1661.86138365927,"a",0
510.252633645616,1514.96278197203,"a",0
795.744931474346,1595.80426331036,"a",0
653.728050462558,1506.37406264167,"a",0
878.548618474032,1295.22482836294,"a",0
876.185943664818,1547.83227032539,"a",0
567.535660165723,1403.35295030248,"a",0
779.003690497739,1429.46887612191,"a",0
779.771016716847,1541.30865413109,"a",0
643.666781493808,1664.55471158087,"a",0
948.783416310664,1321.61991684389,"a",0
696.049386600039,1425.48906442705,"a",0
870.994804824169,1647.64531196259,"a",0
638.83549932275,1545.69605827254,"a",0
734.815166196298,1706.27117076894,"a",0
696.538937837639,1536.74173350096,"a",0
552.273487061714,1551.69201402562,"a",0
513.803987272379,1561.50325512659,"a",0
657.229361280547,1815.12342913322,"a",0
503.112267623712,1407.67624762526,"a",0
947.183128676482,1652.11102964209,"a",0
838.427554278896,1449.61859965730,"a",0
576.066204577674,1463.59187824382,"a",0
871.283741085037,1331.71278027493,"a",0
778.838652372566,1213.96088497344,"a",0
473.443860135167,1715.26966451876,"a",0
888.86880541358,1410.91358531367,"a",0
899.786100572338,1458.7493479714,"a",0
866.717039173072,1475.99816310164,"a",0
907.542657499465,1352.55949653665,"a",0
778.733473897876,1314.90135542227,"a",0
472.413895009536,1458.68796122722,"a",0
887.047868756896,1683.00540455511,"a",0
692.678425761467,1711.75648655636,"a",0
1023.52585275769,1307.25799631442,"a",0
1060.43285425828,1362.72554001841,"a",0
623.377123381489,1504.78976092939,"a",0
544.816376614767,1277.36045618480,"a",0
763.70194652327,1536.68593797007,"a",0
891.174160161373,1335.10119452850,"a",0
872.784258714363,1649.21165056333,"a",0
608.672335921739,1734.60777744778,"a",0
783.596143092058,1492.71743065140,"a",0
728.27816079891,1239.33508439870,"a",0
592.097945793872,1296.10649196440,"a",0
470.592378360125,1455.69610040388,"a",0
816.424451788379,1300.1661670734,"a",0
928.542767983035,1383.41210421121,"a",0
936.684102134742,1293.97579961124,"a",0
951.722277566881,1593.59250692634,"a",0
544.394547453240,1411.76479221309,"a",0
498.739548613651,1149.38007737022,"a",0
723.45223163336,1692.97781510715,"a",0
684.823434416538,1330.31946196894,"a",0
547.232102479441,1536.65231945812,"a",0
853.877975962843,1341.45654795714,"a",0
726.4164124481,1661.29219821646,"a",0
770.706540833056,1451.07785252438,"a",0
634.115909545074,1519.40716300469,"a",0
557.672421494872,1317.59779172947,"a",0
602.84552805493,1552.30240364475,"a",0
839.984968874916,1529.11303290825,"a",0
732.328446168269,1681.03286507011,"a",0
763.33548318427,1368.77782820195,"a",0
776.795863164193,1373.84043040298,"a",0
790.584440957637,1350.88202517077,"a",0
833.13312260603,1479.47277044412,"a",0
623.740030304889,1528.33862606177,"a",0
576.209947888745,1625.21917638548,"a",0
744.678504395855,1320.47318413425,"a",0
548.942404528201,1289.98746426494,"a",0
743.642973316622,1468.94261060872,"a",0
691.760719330262,1722.74977933471,"a",0
898.034977768067,1359.22888220703,"a",0
657.403441738771,1539.38494859122,"a",0
532.489325348903,1209.65923039937,"a",0
581.023491793831,1763.51231687746,"a",0
516.629305449445,1595.64240095261,"a",0
727.554021077265,1554.52737199137,"a",0
557.820092137139,1312.68256605870,"a",0
