"F1" "F2" "PHONE" "UVULAR" "PHONEME"
791.550432450589 1523.76877020946 "a" 0 "a"
554.039836872866 1472.63224795040 "a" 0 "a"
604.15746128339 1020.91615335553 "a" 0 "a"
688.702354437268 1373.12560681423 "a" 0 "a"
878.84641546829 1617.88182844549 "a" 0 "a"
733.915566487753 1949.77826879939 "a" 0 "a"
794.044965147827 1079.79185566888 "a" 0 "a"
803.01679282238 1520.02499312069 "a" 0 "a"
1011.8417530462 1279.04253944341 "a" 0 "a"
783.950940727968 1336.97261875915 "a" 0 "a"
956.322210502503 1314.16766903456 "a" 0 "a"
691.329818606063 1268.80798611283 "a" 0 "a"
901.164925501147 1373.94958102421 "a" 0 "a"
490.882177254898 1363.18065281493 "a" 0 "a"
861.029660499838 1429.01347935679 "a" 0 "a"
807.496327496456 1256.21540485406 "a" 0 "a"
870.933391288754 1282.75863183686 "a" 0 "a"
578.505370601461 1342.66882808256 "a" 0 "a"
843.619548693487 1478.25514903201 "a" 0 "a"
746.091629687924 1469.51235205101 "a" 0 "a"
683.365469603521 1525.60987639787 "a" 0 "a"
774.63230305202 1207.48796788510 "a" 0 "a"
752.326873430823 1387.96398134355 "a" 0 "a"
741.072439207866 1800.76288858339 "a" 0 "a"
747.937851672765 1175.00389444773 "a" 0 "a"
569.942310266291 1306.37121429397 "a" 0 "a"
614.810647070154 1544.04233121392 "a" 0 "a"
646.714670170433 1393.54881775856 "a" 0 "a"
477.950632736183 1810.50272120130 "a" 0 "a"
674.252558349868 1430.16917235677 "a" 0 "a"
732.869178230442 1365.99610766161 "a" 0 "a"
563.107196005881 1498.68406589982 "a" 0 "a"
733.498206639804 1886.68533781977 "a" 0 "a"
906.991361662153 1332.8449205416 "a" 0 "a"
757.434123837049 1812.05887719221 "a" 0 "a"
790.935644459074 1391.46004888175 "a" 0 "a"
624.291511346495 1358.26404731062 "a" 0 "a"
583.193665954011 1699.36588086484 "a" 0 "a"
660.123308412378 1329.93174670034 "a" 0 "a"
906.915313023698 1695.11344857245 "a" 0 "a"
789.316728144397 1712.00164814055 "a" 0 "a"
537.382826746808 1636.82579269627 "a" 0 "a"
926.891133142182 1684.64713199728 "a" 0 "a"
847.05375742015 1365.84106212629 "a" 0 "a"
777.655107065644 1268.13667771045 "a" 0 "a"
944.99640406977 1103.50596880324 "a" 0 "a"
784.512016882431 1488.92428750277 "a" 0 "a"
710.228378880511 1302.96308798706 "a" 0 "a"
712.247218858276 1251.00651303634 "a" 0 "a"
696.125585476886 1215.24750228336 "a" 0 "a"
705.81567450949 1609.99962392764 "a" 0 "a"
683.652683353697 1750.34160154182 "a" 0 "a"
