"X1" "X2" "X3" "C"
435.432537704591 2098.36652105798 2896.43476405375 "ee"
477.09472954827 2453.44760979845 2972.20627008738 "ee"
442.425033127097 2494.43806728049 3105.79121558486 "ee"
503.263951171483 2256.87508091632 3335.55967007198 "ee"
517.420016668619 2265.19707051626 2956.70253498943 "ee"
394.088618267923 2319.46691887693 2849.0595919913 "ee"
414.947603156098 2519.80541705553 2852.89951191421 "ee"
392.909365665516 2260.18820513973 2855.01089740055 "ee"
712.63211584528 1707.67411001638 2836.33073704939 "ee"
458.005499035101 2494.77741128562 2932.36976522007 "ee"
502.408828825115 2305.77090660985 3050.45271728019 "ee"
396.671597870735 2458.14806661118 2889.86907677889 "ee"
440.751183121905 2290.24053253682 2905.58941060291 "ee"
391.001950020253 2266.61345053142 2907.83408868487 "ee"
354.239728990038 2535.81468240342 3079.1926894846 "ee"
450.469651698027 2412.63000199755 3128.91077566989 "ee"
407.974329446356 2340.65113676492 2967.0082274367 "ee"
519.118614037231 2281.37595732134 3309.9704268234 "ee"
411.348683134741 2464.79657179911 3117.03726729218 "ee"
460.540359343364 2364.17817114731 2906.22278878791 "ee"
352.697209847733 2504.88904455575 2881.21234029536 "ee"
387.401726287127 2197.29643059002 2956.76956787898 "ee"
411.991752533373 2103.58293309732 2905.26374451984 "ee"
464.969809314717 2195.45220523814 2852.80595332181 "ee"
462.652810409123 2282.67156066423 2781.00060275066 "ee"
381.392431288669 2409.59978873461 3107.65513953262 "ee"
481.762727229136 1827.09923585867 2870.22764397294 "ee"
453.427268318184 2182.21032936679 2836.25160217932 "ee"
444.180361911086 1999.14316742051 3121.6431483873 "ee"
459.355527140967 2203.7533539501 2971.52349309077 "ee"
492.001439471594 2190.92510991048 3050.74130054323 "ee"
783.471245792024 1673.92330618051 2820.36337704064 "ee"
418.261617297195 2225.25308075477 2902.64841520951 "ee"
669.080588062355 1648.96958218423 2815.34719988047 "ee"
463.029364814275 2176.42273458316 3078.48415328714 "ee"
414.52345768652 2182.78773624859 3034.09021705734 "ee"
668.136327429478 1861.81381502816 2760.62657886727 "ee"
620.907899741648 1783.62513948841 2733.31396424142 "ee"
339.997948206491 2250.92090313155 3016.39055240202 "ee"
435.431365794174 2095.43126599864 3040.30628871306 "ee"
467.999660068108 2308.76214745672 3008.54701550732 "ee"
476.257840594526 2228.65904051432 3036.53067675586 "ee"
428.345858499021 2300.82079771165 2944.49460816067 "ee"
454.293143767719 2296.94346656113 2856.49418738512 "ee"
390.397752246987 2327.84558662521 3038.56866209827 "ee"
407.199878225097 2121.35973747007 2926.83922581792 "ee"
455.115643219056 2349.39331469627 3009.69978901122 "ee"
