"T2","X1","X2","X3","T1","C"
236.073830257736,475.239150680703,2305.91651155651,2700.32482345816,-1,"i"
243.832830183927,535.874294404613,1233.53812636949,2900.87968369582,-1,"u"
258.974516394281,850.510896848905,1516.2768740616,2794.39236924833,-1,"a"
220.572525568797,843.970965467294,1569.73019257628,2685.62095158233,-1,"a"
240.01065854393,848.771796866999,1749.92867160881,2671.34624912876,-1,"a"
169.558229947544,382.323338680033,2533.16612997446,2849.86202818238,-1,"i"
177.148001691437,883.065879085053,1566.13774622647,2894.38403301937,-1,"a"
269.277108984233,568.774877197072,1314.42151070086,2877.43135143514,-1,"u"
212.184145812792,730.200591174972,1449.07269914357,2798.94104724878,-1,"a"
170.874269177775,765.018897177824,1600.32777645618,2466.69575278676,-1,"a"
365.115510590343,822.937748700333,1814.8751331043,2625.30541216493,-1,"a"
299.808271990309,432.526968186269,2373.29319189375,2950.64041653783,-1,"i"
326.061502440227,708.96336411263,1764.87495020383,2672.23076892518,-1,"a"
337.796254508501,275.770624052695,985.23821187449,2783.41614234804,-1,"u"
254.858460562657,714.121993364111,1707.74580812728,2601.53124824517,-1,"a"
308.942617023496,328.553181036019,2246.55057378148,2934.46745759032,-1,"i"
361.723774885564,419.613392594808,2493.70620694605,2817.65640486172,-1,"i"
341.454509297442,376.535027121241,2371.52276254841,2731.50223798435,-1,"i"
281.046370591767,856.227408422601,1542.12222555377,2403.75481753176,-1,"a"
202.890075454484,430.272978361368,2565.14717154229,2851.25298528813,-1,"i"
289.237671626679,440.32973476091,2583.10518995097,2896.02281136323,-1,"i"
327.48491099595,871.869531740938,1629.79251346063,2641.15950201572,-1,"a"
327.128680198336,371.390703008347,2373.75454910289,2806.03549549666,-1,"i"
271.819308822902,817.295421700146,1592.30262952684,2613.36510559861,-1,"a"
271.669509377784,527.134085482891,2235.91943725558,2958.905234475,-1,"i"
133.136386647257,759.357968269072,1449.40136815376,2509.33156605958,-1,"a"
358.977845587151,422.155876394927,2466.18671693722,3040.26996179886,-1,"i"
251.32337189968,909.49102433605,1563.86259520797,2921.37672294488,-1,"a"
228.536672901479,829.42481445486,1420.31979489684,2604.56000521829,-1,"a"
238.428661381523,919.240231801055,1485.20848243857,2705.98504491036,-1,"a"
246.663302073841,834.697491678192,1535.09985281069,2759.86765631339,-1,"a"
243.697704384653,555.784071937221,1215.100507516,2828.91060945746,-1,"u"
214.703719386448,854.159069155938,1827.47000568431,2582.19141359672,-1,"a"
290.001087058242,329.164803550089,2596.12637344963,2960.19272874655,-1,"i"
208.391085773333,571.074914342164,1319.83841612176,2780.43750282461,-1,"u"
196.517398304004,853.52996289969,1277.32567312644,2628.17586052619,-1,"a"
211.418986701147,453.071985705133,2437.20865206319,2939.68641339399,-1,"i"
197.973291056007,437.35608619448,2532.68164470138,3042.90135793268,-1,"i"
187.187034281124,402.484811941365,2602.90446682683,2916.10816557861,-1,"i"
200.544956949348,845.18016887387,1757.0615057368,2599.39796710012,-1,"a"
210.550730988192,835.953967682752,1499.67119312559,2507.32011497973,-1,"a"
242.617717436863,840.836075008078,1428.64865869914,2715.91254684,-1,"a"
196.155571213509,756.375747616834,1633.20694102242,2717.51400003786,-1,"a"
198.238767970941,793.759548009878,1751.38241394098,2612.51617363897,-1,"a"
225.321291719783,514.398127249768,1384.34336496994,2744.4309454043,-1,"u"
188.689603200273,833.972436369602,1671.41177485364,2555.60233144406,-1,"a"
167.414310665938,763.154960815312,1397.39467039522,2670.83204325742,-1,"a"
178.303759594141,926.346575165789,1653.89832721668,2562.748926171,-1,"a"
213.548259202982,865.401460809447,1626.91563718812,2572.31763346936,-1,"a"
145.733809253368,654.972038120552,1371.31260207872,2797.95792171172,-1,"a"
